cell,markers
colon enteroendocrine cells,"['SIGLEC5', 'NXF2', 'PPIAL4A', 'PCDHGC5', 'PCDHA11', 'EPX', 'PCDHA6', 'TRHR', 'TPTE', 'NTN3', 'TMEFF1', 'PCDHGB4', 'PCDHGB1', 'HTR1D', 'GP5', 'FLG2', 'CDSN', 'UGT1A9', 'C4A', 'SLC6A2', 'TNFSF18', 'TLR9', 'SLC45A2', 'ARSF', 'DBH', 'PCDHGB5', 'INHBE', 'SIGLEC12', 'CACNG6', 'PCDH20', 'PCDHGA9', 'SLITRK3', 'TMEM132E', 'PTPRQ', 'FLRT1', 'ZP4', 'SLC26A5', 'CPZ', 'PLXNB3', 'PLA2G3', 'PCDHA10', 'KIR3DL1', 'PCDHGA8', 'IGSF1', 'UNC5A', 'COL2A1', 'ALPP', 'SCN2B', 'PCDHGA12', 'CELSR3', 'CEACAM8', 'TMEM26', 'AGTR2', 'LRRC15', 'GPR39', 'TMPRSS5', 'TLL2', 'ELFN2', 'CRB2', 'KIR2DL3', 'MGAT5B', 'IGLON5', 'PCDHGB7', 'NTSR1', 'IL1RL2', 'CDH15', 'TYR', 'ELFN1', 'ULBP3', 'VSTM1', 'EFNB3', 'SCNN1D', 'CRLF2', 'TNFRSF8', 'ADORA1', 'ICAM5', 'SLC6A11', 'SLC22A16', 'NTRK1', 'PRG2', 'SLC29A4', 'TSHR', 'TMEM63C', 'CD1B', 'KCNK17', 'AMIGO1', 'HTR2B', 'ADAMTS15', 'ATG9A', 'HEPACAM', 'CCR4', 'EPHB2', 'FGFR4', 'CHRNA3', 'MPO', 'LRRC4B', 'RAET1G', 'LRFN1', 'FAM171A2']"
vascular endothelial cells,"['MMRN1', 'VWF', 'TFPI', 'AQP1', 'PLVAP', 'PECAM1', 'LIFR', 'PKHD1L1', 'IGFBP3', 'OLFM1', 'PTPRB', 'SLCO2A1', 'RAMP3', 'IL6ST', 'PODXL', 'CDH5', 'LRRC32', 'PLAT', 'CLEC14A', 'CD34', 'HYAL2', 'TIE1', 'FLT1', 'NRP2', 'CALCRL', 'EFNB2', 'S1PR1', 'VCAM1', 'THBD', 'TGFBR2', 'FLT4', 'HEG1', 'SELP', 'SEMA3A', 'TEK', 'JAG2', 'JAM2', 'EPHA4', 'FAT4', 'IL3RA', 'FZD4', 'HSPG2', 'A2M', 'EPHB4', 'ITGA9', 'VEGFC', 'TLL1', 'THSD1', 'BMPR2', 'SEMA6B', 'CACHD1', 'SLCO4A1', 'ENG', 'ADAM15', 'ST6GALNAC3', 'TSPAN18', 'HTR2B', 'F2RL3', 'TNFRSF8', 'HMCN1', 'FAM174B', 'LRRC15', 'SLC22A23', 'PEAR1', 'CLEC1A', 'NPTX1', 'PCDH1', 'TNFRSF11A', 'SULF2', 'PCDHGB4', 'TGFBR3', 'ELFN1', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'EPX', 'TRHR', 'CRIM1', 'PCDHA6', 'TPTE', 'TMEFF1', 'PCDHGB5', 'SLC6A2', 'PCDHGB1', 'CDSN', 'HTR1D', 'ABCB1', 'GP5', 'FLG2', 'UGT1A9', 'TLR9', 'SLC45A2', 'TMEM26', 'TNFSF18', 'PCDHGB7', 'ARSF']"
eye cone photoreceptor cells,"['CHRNA3', 'NPTX1', 'PROM1', 'ATP1B2', 'SLC6A6', 'SLC12A5', 'HEG1', 'SLC4A7', 'BACE1', 'GDPD5', 'CNNM4', 'CRB2', 'ELFN1', 'CELSR3', 'SCN2A', 'MGAT5B', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'PCDHGC5', 'NTN3', 'EPX', 'TRHR', 'PCDHA6', 'TPTE', 'TMEFF1', 'PCDHA11', 'HTR1D', 'GP5', 'CDSN', 'PCDHGB1', 'UGT1A9', 'TLR9', 'C4A', 'FLG2', 'PCDHGB4', 'SLC6A2', 'ARSF', 'SLC45A2', 'TNFSF18', 'SIGLEC12', 'DBH', 'INHBE', 'PCDH20', 'MDGA1', 'SLC45A4', 'LIPG', 'CACNG6', 'ZP4', 'PTPRQ', 'CEACAM8', 'CPZ', 'PCDHGB5', 'PLA2G3', 'PLXNB3', 'SLC26A5', 'KIR3DL1', 'PCDHGA9', 'PCDHA10', 'ALPP', 'TMEM132E', 'KIR2DL3', 'TMEM26', 'LRRC15', 'AGTR2', 'TLL2', 'NTSR1', 'TCTN2', 'PCDHGA12', 'IGDCC4', 'CDH15', 'PCDHGA8', 'TYR', 'IL1RL2', 'CRLF2', 'SLITRK3', 'VSTM1', 'ULBP3', 'TMPRSS5', 'FLRT1', 'ICAM5', 'LRP4', 'TNFRSF8', 'NXPH4', 'SLC22A16', 'PRG2', 'TMEM63C', 'CD1B', 'ABCC5', 'KCNK17', 'EFNB3', 'GPR39', 'PCDHGB7', 'TSHR', 'ATG9A', 'CCR4', 'SEMA4F', 'SCNN1D', 'COL6A6']"
fallopian tube endothelial cells,"['VWF', 'AQP1', 'FLT1', 'LRRC32', 'VCAM1', 'THBD', 'HYAL2', 'CLEC14A', 'ABCB1', 'OLFM1', 'ESAM', 'SLCO2A1', 'SELP', 'PLVAP', 'SEMA6B', 'LIFR', 'CD200', 'JAM2', 'ELFN1', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'EPX', 'TRHR', 'PCDHA11', 'PCDHA6', 'TPTE', 'HTR1D', 'TMEFF1', 'FLG2', 'PCDHGB1', 'UGT1A9', 'PCDHGB4', 'CDSN', 'GP5', 'TLR9', 'ARSF', 'SLC6A2', 'TNFSF18', 'SLC45A2', 'NTSR1', 'INHBE', 'C4A', 'PCDH20', 'TMEM132E', 'DBH', 'ZP4', 'BMPR2', 'PLXNB3', 'PLA2G3', 'FLRT1', 'SLC26A5', 'PCDHGB5', 'PCDHGA9', 'KIR3DL1', 'COL2A1', 'CELSR3', 'CACNG6', 'LEPR', 'ELFN2', 'SIGLEC12', 'ALPP', 'TMPRSS5', 'KIR2DL3', 'MGAT5B', 'SCN2B', 'TMEM26', 'PCDHGA8', 'IL3RA', 'PCDHA10', 'TLL2', 'PTPRQ', 'CPZ', 'TYR', 'CDH15', 'TMEM63C', 'SLITRK3', 'PCDH19', 'UNC5A', 'ADORA1', 'ULBP3', 'SLC6A11', 'ICAM5', 'IGSF1', 'NPTX2', 'SLC22A16', 'PCDHGB7', 'PRG2', 'IGLON5', 'CD1B', 'AMIGO1', 'ATG9A', 'SCNN1D', 'NXPH4', 'EFNB3', 'HEPACAM', 'RAET1G']"
fallopian tube plasma cells,"['IGHA1', 'IGHG1', 'IGHM', 'IGHG2', 'HSP90B1', 'CD79A', 'CD27', 'TNFRSF17', 'FCRL5', 'TNFRSF13B', 'SLAMF1', 'SLAMF7', 'CRELD2', 'CD38', 'SEL1L3', 'CLPTM1L', 'TXNDC15', 'IL2RG', 'HSPA13', 'LY9', 'MOXD1', 'SEL1L', 'FCRL2', 'SDK2', 'TOR3A', 'TMEM156', 'ITGB7', 'FICD', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'TMEFF1', 'NTN3', 'PCDHA6', 'PCDHGC5', 'EPX', 'TRHR', 'PCDHA11', 'TPTE', 'PCDHGB4', 'TSHR', 'HTR1D', 'FLG2', 'PCDHGB1', 'UGT1A9', 'MERTK', 'CDSN', 'GP5', 'TLR9', 'SMPDL3B', 'ARSF', 'CDH15', 'TNFSF18', 'INHBE', 'SLC45A2', 'SLC6A2', 'ITGA8', 'NTSR1', 'C4A', 'PCDH20', 'DBH', 'TMEM132E', 'TLL2', 'ZP4', 'PCDHGB5', 'PLXNB3', 'PLA2G3', 'FLRT1', 'SLC26A5', 'CD180', 'KIR3DL1', 'PCDHGA9', 'CELSR3', 'COL2A1', 'CACNG6', 'TMPRSS5', 'ELFN2', 'CPZ', 'MGAT5B', 'SIGLEC12', 'ALPP', 'SCN2B', 'KIR2DL3', 'TMEM26', 'PCDHGA8', 'TMEM63C', 'PCDHA10', 'PTPRQ', 'TYR', 'IGSF1', 'UNC5A', 'WNT5B', 'ADORA1', 'PCDHGA12', 'SLC2A5', 'SLITRK3', 'SLC6A11', 'IL5RA', 'GGT1']"
liver fibroblasts,"['CLEC1B', 'STAB1', 'LIFR', 'RAMP3', 'FCGR2B', 'CD4', 'PTPRB', 'NPY1R', 'F2R', 'IL6ST', 'IL13RA2', 'MRC1', 'ENG', 'DCHS1', 'TEK', 'FZD4', 'HSPG2', 'TGFBR3', 'FLT4', 'LGMN', 'TBXA2R', 'CDH5', 'TGFBR2', 'NRP1', 'TIE1', 'DPY19L4', 'NPR1', 'SLC26A5', 'OLFM1', 'CD200R1', 'DBH', 'PCDHGB1', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'PCDHGC5', 'NTN3', 'PCDHA11', 'EPX', 'PCDHA6', 'TRHR', 'TPTE', 'TMEFF1', 'PCDHGB4', 'GP5', 'TLR9', 'PCDHA10', 'CDSN', 'SLC6A2', 'FLG2', 'TNFSF18', 'SLC45A2', 'PCDHGB5', 'ARSF', 'HTR1D', 'CACNG6', 'PCDHGA9', 'PCDH20', 'UGT1A9', 'CEACAM8', 'FLRT1', 'PTPRQ', 'ZP4', 'SIGLEC12', 'CPZ', 'NTSR1', 'PLXNB3', 'EFNB3', 'PLA2G3', 'PCDHGA8', 'PCDHGA12', 'HTR2B', 'SLITRK3', 'TMEM26', 'UNC5A', 'ALPP', 'ELFN2', 'ELFN1', 'TMEM132E', 'SCN2B', 'COL2A1', 'MGAT5B', 'AGTR2', 'IGSF1', 'LRRC15', 'C4A', 'ITGA9', 'TLL2', 'TMPRSS5', 'CDH15', 'CELSR3', 'IGLON5', 'NTRK1', 'TYR', 'TMEM63C', 'PCDHGB7', 'CRLF2', 'KIR3DL1', 'ULBP2']"
rectum undifferentiated cells,"['TSPAN8', 'EPHB3', 'EPHB2', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'CRB2', 'NTN3', 'PCDHGC5', 'PCDHA11', 'EPX', 'TRHR', 'PCDHA6', 'HTR1D', 'TPTE', 'TMEFF1', 'PCDHGB4', 'PCDHGB1', 'GP5', 'FLG2', 'CDSN', 'UGT1A9', 'TLR9', 'SLC45A2', 'C4A', 'TNFSF18', 'SLC6A2', 'ARSF', 'NTSR1', 'PCDHGB5', 'SIGLEC12', 'INHBE', 'PCDHGA9', 'DBH', 'SLITRK3', 'PCDH20', 'CACNG6', 'TMEM132E', 'PTPRQ', 'SLC26A5', 'FLRT1', 'ZP4', 'CEACAM8', 'PLA2G3', 'CPZ', 'PLXNB3', 'PCDHA10', 'KIR3DL1', 'ELFN2', 'UNC5A', 'IGSF1', 'CELSR3', 'PCDHGA8', 'ALPP', 'PCDHGA12', 'KIR2DL3', 'SCN2B', 'TMEM26', 'AGTR2', 'LRRC15', 'TMPRSS5', 'MGAT5B', 'IL1RL2', 'TLL2', 'IGLON5', 'PCDHGB7', 'NTRK1', 'CDH15', 'ULBP3', 'ELFN1', 'ADORA1', 'GPR39', 'TYR', 'ICAM5', 'SLC29A2', 'CRLF2', 'VSTM1', 'SCNN1D', 'SLC6A11', 'SLC22A16', 'TNFRSF8', 'PRG2', 'ATG9A', 'LRFN1', 'EFNB3', 'ADAMTS15', 'AMIGO1', 'FGFR4', 'CD1B', 'RTN4R', 'KCNK17', 'IL17RB', 'CCR4', 'TSHR', 'HTR2B', 'HEPACAM', 'FAM171A2', 'NXPH4', 'TMEM200B']"
pancreas mixed cell types,"['SERPINA1', 'LAMC2', 'F3', 'PMEPA1', 'LAMA3', 'SERPINB2', 'LAMB3', 'GPRC5A', 'CEACAM6', 'PLAU', 'TSPAN1', 'ITGA2', 'CD59', 'GOLM1', 'ITGB6', 'ITGB4', 'SLC6A14', 'IL1R2', 'ITGA3', 'ASPH', 'CDH1', 'DSG2', 'ANGPTL4', 'CDH6', 'CDH3', 'C4BPB', 'SEMA7A', 'NT5E', 'GALNT5', 'EPHB2', 'CDCP1', 'MYOF', 'QSOX1', 'MST1R', 'MSLN', 'PTAFR', 'MET', 'SCNN1D', 'HHLA2', 'IL13RA2', 'HTR1D', 'CDSN', 'CGN', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'EPX', 'TRHR', 'PCDHA6', 'TPTE', 'TMEFF1', 'PCDHGB1', 'PCDHGB4', 'GP5', 'UGT1A9', 'TLR9', 'C4A', 'FLG2', 'SLC45A2', 'EPHA2', 'TNFSF18', 'SLC6A2', 'AMIGO2', 'ARSF', 'NTSR1', 'DBH', 'PCDHGB5', 'CACNG6', 'PCDH20', 'PCDHGA9', 'SIGLEC12', 'SLITRK3', 'PTPRQ', 'TMEM132E', 'SLC26A5', 'TMC7', 'EPHA4', 'CEACAM8', 'CPZ', 'FLRT1', 'ZP4', 'ULBP3', 'ITPR3', 'PLXNB3', 'INHBE', 'KIR3DL1', 'PLA2G3', 'ELFN2', 'PCDHGA8', 'ALPP', 'SCN2B', 'CELSR3', 'COL2A1', 'UNC5A', 'TMPRSS5', 'PCDH1']"
stomach b-cells,"['CD74', 'MS4A1', 'CD79A', 'CD37', 'LY9', 'CD83', 'CD19', 'HLA-DQA1', 'CXCR5', 'TNFRSF13B', 'FCRL2', 'CR2', 'CD70', 'FCER2', 'CD22', 'CD72', 'CCR7', 'MGAT5', 'FCRL3', 'CNR2', 'TLR9', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'EPX', 'PCDHA6', 'TRHR', 'PCDHGB5', 'TPTE', 'BTLA', 'PCDHGB4', 'PCDHGB1', 'HTR1D', 'TMEFF1', 'FLG2', 'UGT1A9', 'GP5', 'CDSN', 'SLC45A2', 'SLC6A2', 'ARSF', 'SIGLEC12', 'TNFSF18', 'C4A', 'DBH', 'INHBE', 'PCDH20', 'CACNG6', 'PCDHGA9', 'TMEM132E', 'NTSR1', 'CEACAM8', 'PTPRQ', 'FLRT1', 'ZP4', 'SLITRK3', 'PLA2G3', 'NXPH4', 'PLXNB3', 'PCDHA10', 'KIR3DL1', 'SLC26A5', 'IGSF1', 'PCDHGA8', 'ELFN2', 'IL5RA', 'UNC5A', 'CD80', 'ALPP', 'TMPRSS5', 'SCN2B', 'CELSR3', 'COL2A1', 'TMEM26', 'PCDHGA12', 'AGTR2', 'MGAT5B', 'LRRC15', 'KIR2DL3', 'TLL2', 'TMEM63C', 'CDH15', 'PCDHGB7', 'TYR', 'IGLON5', 'NTRK1', 'VSTM1', 'ELFN1', 'ADORA1', 'EFNB3', 'ICAM5', 'SLC6A11', 'SCNN1D', 'PRG2', 'CRLF2', 'IL1RL2']"
thymus b-cells,"['MS4A1', 'CD79A', 'LY9', 'CD19', 'CD37', 'TNFRSF13B', 'CD22', 'CXCR5', 'FCER2', 'CD83', 'CD79B', 'CNR2', 'TMEM156', 'CR2', 'TLR9', 'TSPAN33', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'EPX', 'PCDHA6', 'PCDHA11', 'TRHR', 'TPTE', 'HTR1D', 'CDSN', 'FLG2', 'TMEFF1', 'BTLA', 'UGT1A9', 'PCDHGB1', 'PCDHGB4', 'GP5', 'TNFSF18', 'SLC45A2', 'SLC6A2', 'ARSF', 'NTSR1', 'DBH', 'INHBE', 'PCDHGB5', 'CACNG6', 'SIGLEC12', 'PCDH20', 'SLITRK3', 'PCDHGA9', 'TMEM132E', 'CEACAM8', 'NT5E', 'FLRT1', 'ZP4', 'PLA2G3', 'PLD4', 'PCDHGA8', 'PLXNB3', 'KIR3DL1', 'CD70', 'FCRL2', 'ALPP', 'UNC5A', 'ELFN2', 'C4A', 'PCDHA10', 'IGSF1', 'CELSR3', 'COL2A1', 'SLC26A5', 'AGTR2', 'TLL2', 'KIR2DL3', 'SCN2B', 'LRRC15', 'TMEM26', 'CPZ', 'TMPRSS5', 'MGAT5B', 'SCNN1D', 'SDK2', 'PCDHGA12', 'PTPRQ', 'TMEM63C', 'IGLON5', 'TYR', 'CDH15', 'VSTM1', 'CRLF2', 'IL5RA', 'ADORA1', 'NXPH4', 'IL1RL2', 'SLC6A11', 'NTRK1', 'ULBP3', 'CD72', 'PRG2', 'PCDHGB7', 'CD80']"
skin basal keratinocytes,"['SERPINB2', 'AREG', 'ADRB2', 'CXADR', 'MPZL2', 'ITGA2', 'FGFR3', 'EPHA2', 'COL7A1', 'CDCP1', 'PANX1', 'CDH3', 'NXPH4', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'EPX', 'TRHR', 'PCDHA6', 'TPTE', 'TMEFF1', 'PCDHGB4', 'HTR1D', 'GP5', 'SLC6A2', 'UGT1A9', 'PCDHGB1', 'TLR9', 'C4A', 'ARSF', 'PCDHGB5', 'NTSR1', 'CLCA2', 'CDSN', 'INHBE', 'CACNG6', 'SIGLEC12', 'DBH', 'PCDH20', 'PCDHGA9', 'PTPRQ', 'FLRT1', 'CEACAM8', 'ZP4', 'SLITRK3', 'TMEM132E', 'SLC26A5', 'PLXNB3', 'TNFSF18', 'KIR3DL1', 'CPZ', 'ELFN2', 'PCDHA10', 'ALPP', 'SLC45A2', 'UNC5A', 'KIR2DL3', 'CELSR3', 'AGTR2', 'PCDHGA12', 'FLG2', 'PLA2G3', 'ENTPD7', 'PCDHGA8', 'COL2A1', 'MGAT5B', 'TMPRSS5', 'IGSF1', 'TMEM26', 'SCN2B', 'IGLON5', 'EFNB3', 'TMEM63C', 'TLL2', 'CDH15', 'NTRK1', 'VSTM1', 'MST1R', 'PCDHGB7', 'SCNN1D', 'ULBP3', 'IL1RL2', 'SLC6A11', 'ADORA1', 'GPR39', 'ATG9A', 'ICAM5', 'KCNK17', 'ELFN1', 'HEPACAM', 'RTN4R', 'AMIGO1', 'CHRNA3', 'TNFRSF8', 'FAM171A2', 'MPO']"
breast t-cells,"['CD69', 'GZMH', 'KLRB1', 'CD3D', 'TRBC1', 'TRAC', 'CD2', 'CD7', 'PRF1', 'KLRF1', 'CD3G', 'NCR3', 'TGFB1', 'KLRC1', 'FCRL6', 'CD6', 'KLRG1', 'CD40LG', 'TNFRSF25', 'TIGIT', 'CD160', 'PDCD1', 'KIR2DS4', 'IL2RB', 'ITGAL', 'CD244', 'ULBP2', 'S1PR5', 'CXCR3', 'CD96', 'NEU1', 'CD5', 'KIR2DL3', 'KIR3DL1', 'TUBA4A', 'ITGB7', 'SIRPG', 'NMUR1', 'CD28', 'FCRL3', 'CCR4', 'GPR65', 'ADAM8', 'IGSF1', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'EPX', 'TRHR', 'NTSR1', 'PCDHA11', 'PCDHA6', 'TPTE', 'GP5', 'TMEFF1', 'PCDHGB4', 'HTR1D', 'INHBE', 'PCDHGB1', 'P2RY10', 'FLG2', 'UGT1A9', 'TLR9', 'CDSN', 'C4A', 'DBH', 'SLC45A2', 'ARSF', 'SLC6A2', 'CACNG6', 'SIGLEC12', 'TNFRSF9', 'PCDHGB5', 'SLITRK3', 'TMEM132E', 'CEACAM8', 'FLRT1', 'ZP4', 'TNFSF18', 'ULBP3', 'PLXNB3', 'PCDH20', 'CPZ', 'PCDHGA9', 'PTPRQ', 'ELFN2', 'CELSR3', 'SLCO4C1', 'IL5RA', 'ALPP', 'AGTR2', 'PCDHA10', 'SCN2B', 'MGAT5B', 'CD101', 'LRFN1', 'TMPRSS5']"
testis spermatocytes,"['LY6K', 'LZTFL1', 'SYPL1', 'SLC2A5', 'GLT8D1', 'GMPS', 'PCDH17', 'GPR39', 'FAM174A', 'ABCA5', 'SLC22A16', 'DYNC2H1', 'GALNS', 'TPTE', 'ANO5', 'SLC6A2', 'BVES', 'POMT1', 'ERLIN1', 'ITGAE', 'BTD', 'ZDHHC23', 'NPTX2', 'CSPG5', 'TOR1B', 'SLC15A4', 'NXF2', 'SIGLEC5', 'PPIAL4A', 'PCDHA6', 'NTN3', 'PCDHGC5', 'PCDHA11', 'EPX', 'TRHR', 'IL17D', 'PCDHGB4', 'TMEFF1', 'GP5', 'UGT1A9', 'HTR1D', 'FLG2', 'TLR9', 'CDSN', 'NTRK1', 'PCDHA10', 'TNFSF18', 'C4A', 'BDNF', 'CELSR3', 'NTSR1', 'ARSF', 'PCDHGB5', 'ELFN2', 'INHBE', 'DBH', 'PCDH20', 'CACNG6', 'PCDHGA9', 'TMEM132E', 'SIGLEC12', 'SLITRK3', 'CEACAM8', 'ZP4', 'SLC26A5', 'PLA2G3', 'FLRT1', 'PLXNB3', 'CPZ', 'KIR3DL1', 'ALPP', 'SDK2', 'PCDHGA8', 'ULBP3', 'KIR2DL3', 'THSD1', 'SLC45A2', 'IGSF1', 'PCDHGA12', 'PCDHGB1', 'AGTR2', 'UNC5A', 'TMPRSS5', 'ICAM5', 'LRRC15', 'SCN2B', 'CDH15', 'PTPRQ', 'PCDHGC3', 'FBN2', 'DISP2', 'PCDHGB7', 'CRLF2', 'LRRC4B', 'AMIGO1', 'IL1RL2', 'ATL1', 'HEPACAM', 'SEMA4F']"
vascular macrophages,"['F13A1', 'CD163', 'PLTP', 'MRC1', 'STAB1', 'MSR1', 'CPM', 'FCGR2A', 'EMB', 'SLC1A3', 'FCGR3A', 'FCGRT', 'CD84', 'CD14', 'MERTK', 'CREG1', 'SIGLEC1', 'LIPA', 'CR1', 'CYBB', 'ABCA1', 'TTYH3', 'COLEC12', 'TLR4', 'LAIR1', 'CMKLR1', 'PLD3', 'TLR2', 'EMILIN2', 'NCEH1', 'ITGAM', 'LGMN', 'MCOLN1', 'KCNE3', 'IL2RA', 'SIGLEC9', 'GPNMB', 'SUCNR1', 'P2RX7', 'TNFRSF11A', 'HFE', 'LRRC25', 'TLR1', 'ADAM9', 'CD33', 'SIGLEC7', 'PTAFR', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'FCGR1A', 'PCDHA11', 'EPX', 'TRHR', 'PCDHA6', 'TPTE', 'TMEFF1', 'HTR1D', 'CDSN', 'GP5', 'FLG2', 'UGT1A9', 'PCDHGB1', 'ICAM5', 'TNFSF18', 'TLR9', 'SLC45A2', 'PCDHGB4', 'ARSF', 'NTSR1', 'C4A', 'SLC6A2', 'SIGLEC12', 'SLC46A1', 'DBH', 'CACNG6', 'INHBE', 'PCDH20', 'SLC22A16', 'SLITRK3', 'PCDHGB5', 'CEACAM8', 'ZP4', 'PCDHGA9', 'TMEM132E', 'PLA2G3', 'CPZ', 'TMEM26', 'PTPRQ', 'KIR3DL1', 'CD200R1', 'IGSF1', 'DMXL2', 'UNC5A', 'ELFN2', 'PLXNB3', 'ALPP']"
small intestine proximal enterocytes,"['ANPEP', 'DPEP1', 'SERPINA1', 'TSPAN8', 'APOB', 'ACE', 'SLC5A1', 'EPCAM', 'ATP1A1', 'ENPEP', 'FCGRT', 'LGALS3BP', 'HSD17B2', 'MME', 'HLA-DRB5', 'SLC2A5', 'ACAA1', 'ABCB1', 'HHLA2', 'DPP4', 'SUSD2', 'CDH17', 'SLC6A8', 'TMEM25', 'C11orf24', 'MGAT4B', 'CXADR', 'CD68', 'TMEM106C', 'HLA-F', 'ANO9', 'GGT1', 'ABCC2', 'VNN1', 'ENTPD2', 'BST1', 'CLCN2', 'LAMA1', 'SEMA4G', 'ACHE', 'SLC22A4', 'GABRA2', 'HTR1D', 'NAAA', 'SLC6A9', 'CGN', 'ENPP3', 'SCNN1D', 'SLC22A5', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'EPX', 'PCDHA6', 'TRHR', 'LY75', 'TPTE', 'TMEFF1', 'PCDHGB4', 'UGT1A9', 'CDSN', 'PCDHGB1', 'GP5', 'FLG2', 'TLR9', 'C4A', 'PCDHGB5', 'TNFSF18', 'ARSF', 'SIGLEC12', 'SLC6A2', 'SLC45A2', 'NTSR1', 'DBH', 'INHBE', 'CACNG6', 'PCDHGA9', 'SLITRK3', 'CEACAM1', 'TMEM132E', 'PTPRQ', 'GPR39', 'CEACAM8', 'FLRT1', 'TLL2', 'ZP4', 'SLC26A5', 'CPZ', 'PLXNB3', 'PLA2G3', 'SLC26A6', 'PCDHA10', 'KIR3DL1', 'PCDH20', 'ULBP3', 'PCDHGA8']"
placenta endothelial cells,"['FCGR2B', 'TFPI2', 'ICAM2', 'PECAM1', 'APLNR', 'ESAM', 'JAM2', 'CD34', 'HYAL2', 'CDH5', 'PCDH17', 'CLEC14A', 'TIE1', 'PLVAP', 'HSD17B2', 'TEK', 'CLEC1A', 'THSD1', 'RAMP3', 'JAM3', 'DCHS1', 'TLL1', 'VEGFC', 'SELP', 'TSPAN18', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHGB4', 'PCDHA6', 'TPTE', 'EPX', 'GP5', 'TMEFF1', 'PCDHGB1', 'HTR1D', 'FLG2', 'UGT1A9', 'TLR9', 'CDSN', 'C4A', 'SLC45A2', 'ARSF', 'PCDHGB5', 'NTSR1', 'INHBE', 'CACNG6', 'PCDH20', 'PCDHGA9', 'PTPRQ', 'TMEM132E', 'CEACAM8', 'SLITRK3', 'ZP4', 'PLXNB3', 'FLRT1', 'MGAT5B', 'SLC26A5', 'PLA2G3', 'TNFSF18', 'SIGLEC12', 'IGSF1', 'CPZ', 'PCDHA10', 'PCDHGA8', 'UNC5A', 'PCDHGA12', 'AGTR2', 'ELFN2', 'LRRC15', 'TMPRSS5', 'TMEM26', 'SCN2B', 'TLL2', 'CELSR3', 'KIR3DL1', 'PCDHGB7', 'TYR', 'VWF', 'DBH', 'SLC6A2', 'ULBP3', 'COL2A1', 'ICAM5', 'CRLF2', 'SCNN1D', 'ALPP', 'ELFN1', 'ADORA1', 'CDH15', 'ATG9A', 'ULBP2', 'TSHR', 'CD1B', 'CCR4']"
salivary gland b-cells,"['CD79A', 'MS4A1', 'CD37', 'CD79B', 'FCER2', 'CD22', 'LY9', 'TNFRSF13B', 'CXCR5', 'CNR2', 'CD19', 'CD72', 'BTLA', 'FCRL2', 'CR2', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'TRHR', 'PCDHA6', 'EPX', 'PCDHA11', 'TPTE', 'TMEFF1', 'P2RY10', 'HTR1D', 'CDSN', 'UGT1A9', 'FLG2', 'TLR9', 'PCDHGB4', 'GP5', 'PCDHGB1', 'C4A', 'TNFSF18', 'ARSF', 'SLC45A2', 'FCRL3', 'SLC6A2', 'DBH', 'CACNG6', 'INHBE', 'PCDH20', 'SIGLEC12', 'NTSR1', 'TMEM132E', 'CEACAM8', 'PTPRQ', 'SLITRK3', 'FLRT1', 'ZP4', 'CPZ', 'PCDHGB5', 'PLA2G3', 'PLXNB3', 'KIR3DL1', 'IGSF1', 'ELFN2', 'UNC5A', 'ALPP', 'SDK2', 'PCDHGA9', 'COL2A1', 'CD180', 'KIR2DL3', 'AGTR2', 'FCRL5', 'TMEM26', 'CELSR3', 'MGAT5B', 'LRRC15', 'CD80', 'PCDHGA8', 'SLC26A5', 'SCN2B', 'IGLON5', 'PCDHGA12', 'TLL2', 'PCDHA10', 'TYR', 'TMEM63C', 'NTRK1', 'CRLF2', 'CDH15', 'VSTM1', 'SCNN1D', 'ELFN1', 'SLC6A11', 'PRG2', 'ULBP3', 'NXPH4', 'TNFRSF8', 'CD1B', 'ATG9A', 'EFNB3', 'IL1RL2', 'GPR39']"
